Instalação;"Nº de Incidentes";Incidentes
" SEE-NORO-22941 ";" 11 ";" 13025, 14609, 15650, 16952, 17219, 18068, 19578, 20103, 21235, 22346, 22826 "
" SEE-JOMA-22902 ";" 19 ";" 12542, 12643, 12670, 12685, 12699, 12715, 12719, 12724, 12727, 12774, 13148, 16949, 18603, 19122, 19613, 20408, 21120, 21716, 22347 "
" SEE-RIAS-22559 ";" 7 ";" 12858, 13047, 16356, 18433, 19863, 20701, 22348 "
" SEE-SATE-23383 ";" 5 ";" 13228, 16493, 20922, 21368, 22349 "
" SEE-GROL-23701 ";" 6 ";" 14113, 16615, 18802, 19346, 19392, 22350 "
" SEE-TAIM-23163 ";" 12 ";" 13280, 14268, 14999, 15744, 15785, 16524, 18084, 18369, 19278, 19819, 21761, 22351 "
" SEE-FRSA-23564 ";" 4 ";" 17103, 18023, 22352, 22685 "
" SEE-ANIA-22004 ";" 27 ";" 12780, 12889, 13059, 13623, 13750, 13864, 14152, 14682, 14826, 15167, 15291, 15846, 16106, 16185, 16923, 17242, 17384, 17804, 18317, 20411, 20621, 21125, 21291, 21726, 21898, 22030, 22353 "
" SEE-VIIA-23218 ";" 17 ";" 13070, 14070, 15971, 16074, 16149, 16572, 17077, 17277, 17860, 18160, 18321, 18983, 19154, 19386, 20648, 21486, 22354 "
" SEE-IPBA-23155 ";" 7 ";" 12807, 13135, 16580, 18792, 20015, 21765, 22355 "
" SEE-GOES-22804 ";" 9 ";" 15923, 16765, 16900, 17662, 18962, 19072, 20128, 22138, 22357 "
" SEE-JAIA-22153 ";" 7 ";" 16177, 16178, 18605, 19767, 20188, 20760, 22358 "
" SEE-INIM-23152 ";" 15 ";" 12592, 12890, 12913, 12941, 14559, 14665, 15067, 16438, 16845, 17149, 17692, 19711, 20151, 21650, 22359 "
" SEE-TAIM-23165 ";" 17 ";" 13884, 14064, 14261, 14275, 14327, 14972, 15489, 15654, 16492, 17256, 17399, 18014, 18512, 19858, 20829, 22059, 22360 "
" SEE-IPGA-22594 ";" 81 ";" 15829, 15830, 15831, 15832, 15837, 15851, 15993, 16003, 16014, 16016, 16018, 16022, 16025, 16026, 16027, 16028, 16778, 17404, 17437, 17456, 17463, 17471, 17501, 17516, 17523, 17538, 17542, 17543, 17544, 17545, 17546, 17547, 17548, 17549, 17550, 17551, 17552, 17553, 17554, 17555, 17556, 17557, 17558, 17559, 17560, 17561, 17562, 17563, 17564, 17565, 17566, 17567, 17568, 17569, 17570, 17571, 17572, 17573, 17574, 17575, 17576, 17577, 17578, 17579, 17580, 17587, 17595, 17604, 17911, 17913, 17914, 17915, 17917, 17921, 17923, 18187, 18243, 18706, 19955, 21604, 22361 "
" SEE-MIIA-21968 ";" 8 ";" 17067, 17342, 17831, 18567, 19564, 20022, 20939, 22363 "
" SEE-TAIM-23167 ";" 41 ";" 12608, 12768, 12795, 12922, 13372, 13604, 13795, 14004, 14833, 15029, 15307, 15422, 15575, 15883, 15958, 16119, 17109, 17267, 17400, 17645, 18262, 19777, 20395, 20604, 21108, 21241, 21333, 21403, 21890, 21958, 21989, 22137, 22364, 22472, 22514, 22665, 22839, 22854, 22872, 22894, 22918 "
" SEE-SIIA-23410 ";" 24 ";" 12555, 12667, 12730, 13036, 13649, 13982, 14199, 14806, 15232, 15663, 16053, 16966, 18221, 18551, 19948, 20321, 20399, 21006, 21267, 21318, 21973, 22132, 22365, 22570 "
" SEE-COCI-23185 ";" 11 ";" 15970, 16077, 16528, 16777, 17347, 18348, 19641, 19901, 20647, 21840, 22366 "
" SEE-VEHA-22054 ";" 2 ";" 21178, 22367 "
" SEE-SEAS-22571 ";" 15 ";" 12856, 12865, 12881, 13004, 13054, 13815, 14105, 15393, 16710, 17158, 18848, 19913, 20781, 22368, 22581 "
" SEE-SACO-22217 ";" 9 ";" 13112, 14497, 14523, 14622, 16630, 19075, 19085, 20995, 22369 "
" SEE-DIVA-23187 ";" 9 ";" 14225, 15197, 15892, 17924, 18514, 20284, 21396, 22370, 22651 "
" SEE-JAIA-21960 ";" 13 ";" 12853, 13150, 13314, 15244, 15686, 16342, 18073, 18469, 19293, 19398, 21813, 22371, 22822 "
" SEE-GOES-22810 ";" 8 ";" 14253, 16517, 17668, 18552, 19275, 19717, 21743, 22373 "
" SEE-SAAS-22789 ";" 12 ";" 14033, 16075, 16357, 17273, 17379, 17774, 17822, 18050, 18503, 19172, 22374, 22785 "
" SEE-NORO-22947 ";" 9 ";" 14774, 16663, 18537, 19868, 21516, 22043, 22063, 22375, 22525 "
" SEE-GAIA-23191 ";" 39 ";" 12783, 12929, 13595, 13714, 13792, 14341, 14382, 14456, 14547, 14557, 14686, 14699, 14832, 14948, 15168, 15294, 15417, 15433, 15514, 15567, 15664, 15791, 16114, 16824, 17222, 17338, 17401, 17439, 17647, 17813, 18229, 19019, 19041, 20412, 20600, 21111, 21284, 22376, 22478 "
" SEE-JAIA-22140 ";" 8 ";" 13297, 13410, 14079, 15984, 18946, 19622, 20058, 22377 "
" SEE-SAES-22268 ";" 6 ";" 12538, 15377, 15559, 15788, 16721, 22378 "
" SEE-SAAO-22069 ";" 11 ";" 15231, 15414, 16611, 18190, 18652, 19320, 20820, 21309, 22379, 22564, 22841 "
" SEE-UBAI-22280 ";" 12 ";" 15452, 15644, 16463, 17272, 17371, 17702, 17738, 17958, 20029, 21668, 22003, 22380 "
" SEE-ITBA-22033 ";" 12 ";" 13566, 13655, 14744, 15531, 16869, 18432, 20268, 20883, 21249, 21942, 22381, 22547 "
" SEE-JEHA-22900 ";" 9 ";" 13170, 16298, 16392, 18376, 19111, 19497, 21922, 22049, 22382 "
" SEE-INIM-23233 ";" 34 ";" 12584, 12758, 13159, 13785, 13961, 13992, 14206, 14314, 14319, 14328, 14472, 14588, 14595, 14702, 14811, 14861, 14865, 15050, 16261, 19073, 19074, 19081, 19801, 20286, 20372, 20386, 20388, 20584, 21107, 21110, 21270, 22383, 22669, 22952 "
" SEE-JAIA-21961 ";" 63 ";" 12566, 12640, 12692, 12697, 12706, 12714, 12720, 13284, 13308, 13335, 13568, 13678, 13765, 13772, 13826, 13901, 13954, 14169, 14751, 14752, 14815, 14869, 14965, 15083, 15089, 15316, 15335, 15338, 15476, 15528, 15590, 15651, 15652, 15653, 15912, 15978, 16139, 16173, 16229, 17296, 17468, 17469, 17753, 17755, 18214, 18285, 20367, 20429, 20486, 20558, 20571, 20645, 20666, 20889, 21074, 21076, 21088, 21345, 22048, 22384, 22442, 22587, 22939 "
" SEE-SACO-22219 ";" 39 ";" 12572, 12750, 12897, 13376, 13573, 13707, 13777, 13976, 14210, 14316, 14850, 15063, 15208, 15210, 15321, 15363, 15597, 16021, 16136, 16245, 16734, 17281, 17308, 17309, 17420, 17659, 18303, 19491, 19664, 20302, 20461, 21092, 21413, 21961, 22124, 22385, 22466, 22726, 22941 "
" SEE-MINO-22044 ";" 42 ";" 12683, 12749, 12884, 12914, 13010, 13360, 13593, 13783, 14207, 14708, 14817, 14845, 15045, 15127, 15207, 15312, 15413, 15438, 15504, 15532, 15576, 15725, 16117, 16124, 16251, 17148, 17409, 17646, 17826, 18290, 19732, 20392, 20591, 20691, 21049, 21098, 21797, 22053, 22386, 22464, 22799, 22851 "
" SEE-ARVA-22320 ";" 16 ";" 14590, 16189, 16416, 18213, 18814, 19957, 20913, 21257, 21364, 21417, 22387, 22471, 22511, 22811, 22853, 22917 "
" SEE-BETE-21865 ";" 6 ";" 21171, 21936, 21940, 22388, 22825, 22896 "
" SEE-MOOS-22574 ";" 35 ";" 12784, 12850, 13147, 13400, 13615, 13748, 14003, 14550, 14672, 15017, 15183, 15293, 15423, 15700, 15722, 15871, 17105, 17234, 17378, 17482, 17750, 17816, 18283, 20409, 20624, 20703, 21122, 21273, 21359, 21703, 21938, 21971, 22010, 22389, 22445 "
" SEE-FRSA-23567 ";" 29 ";" 12612, 13027, 13347, 14211, 14461, 14681, 14694, 14829, 15019, 15182, 15288, 15416, 15566, 15705, 15872, 16111, 17059, 17237, 17393, 17637, 18280, 20414, 20623, 21119, 21279, 21290, 21970, 22011, 22390 "
" SEE-CAHA-22009 ";" 13 ";" 13143, 14564, 14589, 14637, 16191, 16340, 17882, 19485, 19945, 21097, 21347, 22391, 22671 "
" SEE-POHA-22549 ";" 24 ";" 12782, 12888, 13542, 13543, 13786, 14531, 15196, 15300, 15633, 16047, 16058, 16162, 17147, 17235, 17423, 17686, 17832, 18320, 20379, 20556, 21090, 21263, 21389, 22392 "
" SEE-SEHA-22969 ";" 15 ";" 13164, 13799, 14760, 14776, 16186, 16196, 16513, 18595, 19218, 20716, 21712, 21912, 22088, 22393, 22500 "
" SEE-JEAI-22064 ";" 8 ";" 13182, 16731, 18746, 19360, 19466, 21022, 22395, 22416 "
" SEE-CAHO-22823 ";" 19 ";" 12702, 12904, 14190, 15124, 15214, 15917, 15996, 16110, 16118, 16550, 17302, 19102, 19797, 20796, 21487, 22396, 22729, 22831, 22873 "
" SEE-ALGA-23136 ";" 27 ";" 12649, 12662, 12701, 12723, 13160, 13302, 13510, 13548, 14494, 14582, 14603, 14732, 14734, 14741, 14892, 14932, 16389, 17321, 17334, 19420, 20149, 20858, 21875, 22094, 22123, 22397, 22925 "
" SEE-BURO-22057 ";" 18 ";" 13200, 14195, 14369, 15164, 15353, 15401, 15443, 16082, 16938, 17337, 17966, 19273, 20332, 21015, 22104, 22398, 22821, 22865 "
" SEE-MACU-23667 ";" 13 ";" 13049, 15767, 16651, 17883, 18517, 19763, 20210, 21350, 21670, 22120, 22399, 22603, 22844 "
" SEE-MACU-23675 ";" 9 ";" 13179, 16720, 18080, 18970, 19362, 19734, 20702, 21978, 22400 "
" SEE-MILA-23331 ";" 8 ";" 12842, 16471, 18491, 19844, 20971, 21640, 22092, 22401 "
" SEE-BOHO-23367 ";" 10 ";" 12854, 14511, 16312, 16444, 17247, 17695, 18327, 21863, 22402, 22818 "
" SEE-SEHA-22971 ";" 32 ";" 12732, 13158, 13576, 13948, 14204, 14706, 14713, 14779, 14875, 15213, 15632, 15763, 15927, 16013, 16163, 16241, 17301, 17669, 17854, 18310, 20360, 20509, 20567, 21064, 21136, 21724, 22106, 22404, 22461, 22849, 22879, 22883 "
" SEE-CAGA-23373 ";" 8 ";" 15752, 16764, 18182, 18497, 19531, 20254, 22405, 22613 "
" SEE-CAGA-23376 ";" 17 ";" 14098, 15524, 16333, 17979, 19792, 20176, 20326, 20668, 21063, 21264, 21349, 21547, 21934, 22013, 22100, 22406, 22668 "
" SEE-NORO-22938 ";" 18 ";" 12971, 13292, 13844, 14703, 14947, 15553, 15782, 15793, 16284, 17484, 17809, 17904, 17909, 18764, 20006, 21742, 22407, 22602 "
" SEE-CAAI-22924 ";" 15 ";" 13290, 15915, 15934, 16143, 16970, 17651, 18319, 18329, 18529, 19540, 20115, 21438, 21956, 22408, 22661 "
" SEE-ICAS-22123 ";" 35 ";" 12744, 12778, 13201, 13348, 13390, 13677, 14235, 14486, 14679, 14728, 14824, 15024, 15175, 15292, 17266, 17385, 17635, 17754, 17897, 18231, 19561, 20410, 20459, 20614, 21124, 21377, 21714, 21730, 21888, 21968, 22005, 22410, 22657, 22856, 22859 "
" SEE-BEIS-22921 ";" 6 ";" 16806, 18671, 19358, 21804, 22411, 22660 "
" SEE-CORO-22018 ";" 13 ";" 13139, 15239, 16823, 17233, 17590, 17996, 18217, 18511, 19130, 21489, 22412, 22697, 22924 "
" SEE-SAAS-22964 ";" 14 ";" 12936, 15364, 17024, 17356, 18051, 18902, 19092, 19282, 19524, 20635, 20689, 21285, 22413, 22845 "
" SEE-MASO-22179 ";" 4 ";" 21185, 22414, 22465, 22693 "
" SEE-MACU-23674 ";" 2 ";" 21187, 22415 "
" SEE-SEHA-22974 ";" 15 ";" 12539, 12652, 13007, 14050, 14745, 14771, 15960, 17018, 18897, 19654, 20125, 20990, 21245, 21939, 22417 "
" SEE-SAES-22271 ";" 169 ";" 12837, 12912, 12915, 12983, 12986, 13187, 13291, 13295, 13300, 13304, 13306, 13358, 13425, 13437, 13455, 13463, 13482, 13487, 13504, 13515, 13550, 13626, 13641, 13656, 13693, 13710, 13734, 13746, 13758, 13781, 13797, 13800, 13829, 13833, 13866, 13871, 13874, 13878, 13880, 13886, 13891, 13894, 13899, 13904, 13908, 13914, 13919, 13924, 13928, 13934, 13943, 13944, 13945, 13951, 13959, 13984, 13986, 13995, 14002, 14158, 14159, 14164, 14167, 14201, 14215, 14242, 14246, 14254, 14279, 14295, 14349, 14443, 14453, 14462, 14474, 14513, 14516, 14549, 14552, 14614, 14747, 14761, 14786, 14795, 14804, 14821, 14872, 14881, 14890, 14938, 14993, 15087, 15118, 15126, 15184, 15266, 15301, 15314, 15323, 15324, 15337, 15395, 15396, 15456, 15457, 15462, 15544, 15549, 15658, 15666, 15673, 15675, 15807, 15836, 15845, 15922, 15924, 15925, 15926, 15936, 15938, 15940, 16033, 16034, 16035, 16036, 16037, 16038, 16039, 16040, 16041, 16042, 17106, 17180, 17201, 17203, 17210, 17212, 17592, 17597, 17681, 17884, 17907, 17927, 18257, 18269, 18996, 19003, 19714, 20191, 20334, 20514, 20767, 21168, 21225, 21324, 21343, 21390, 21598, 21740, 21907, 21943, 21957, 21985, 22418, 22455, 22860, 22884, 22900 "
" SEE-ESSA-22523 ";" 18 ";" 13690, 15227, 15341, 15490, 15806, 15833, 16244, 16644, 17088, 17335, 17497, 18098, 18398, 20219, 21379, 22419, 22546, 22944 "
" SEE-VIPA-22795 ";" 11 ";" 16646, 17142, 17206, 17621, 17796, 18965, 20259, 20711, 21608, 22420, 22598 "
" SEE-GROL-23697 ";" 11 ";" 13213, 14725, 16792, 19691, 20127, 20586, 20677, 20893, 21620, 22421, 22490 "
" SEE-NORO-22937 ";" 20 ";" 12738, 14007, 14230, 14608, 14763, 15084, 15315, 16115, 17115, 17274, 17288, 17770, 18279, 18620, 19421, 20051, 21000, 21089, 21856, 22423 "
" SEE-JAIA-22141 ";" 65 ";" 12565, 12641, 12694, 12705, 12713, 12718, 12721, 13283, 13307, 13334, 13569, 13618, 13766, 13771, 13823, 13900, 13956, 13957, 14170, 14739, 14740, 14750, 14753, 14919, 14964, 15090, 15133, 15317, 15334, 15444, 15477, 15529, 15592, 15667, 15795, 15911, 15941, 15979, 16140, 16146, 16176, 17131, 17297, 17339, 17478, 17479, 17480, 17801, 17844, 18249, 20345, 20369, 20428, 20561, 20572, 20643, 20667, 21078, 21086, 21346, 21862, 22424, 22450, 22835, 22903 "
" SEE-SACO-22230 ";" 11 ";" 15071, 16315, 18171, 18660, 19324, 20819, 21613, 22118, 22425, 22460, 22710 "
" SEE-VAMA-22072 ";" 12 ";" 14030, 14352, 15336, 15398, 17090, 18087, 18591, 19444, 19951, 22035, 22426, 22473 "
" SEE-CAGA-23369 ";" 8 ";" 13067, 16439, 18606, 19382, 19484, 20816, 21618, 22427 "
" SEE-MILA-23332 ";" 11 ";" 13195, 15025, 15707, 16884, 17387, 18495, 19135, 21469, 22428, 22502, 22594 "
" SEE-UMBA-22990 ";" 7 ";" 16583, 18305, 18781, 20200, 21593, 22099, 22429 "
" SEE-DINA-22026 ";" 29 ";" 12940, 14058, 15492, 15770, 15947, 15968, 16045, 16048, 16054, 16055, 16057, 16120, 16154, 16166, 16179, 16202, 16203, 16204, 16205, 16254, 16779, 18220, 18270, 19095, 19842, 21860, 22431, 22764, 22957 "
" SEE-MAGA-22173 ";" 13 ";" 12528, 13126, 14131, 16341, 17038, 17289, 18545, 19469, 20007, 20878, 21652, 22432, 22927 "
" SEE-SAES-22266 ";" 14 ";" 13129, 13445, 17027, 17286, 17348, 17500, 17539, 17630, 20798, 21494, 21561, 22433, 22529, 22950 "
" SEE-SAES-22240 ";" 10 ";" 14026, 14553, 16985, 17290, 18063, 18839, 20000, 21585, 22434, 22750 "
" SEE-SAES-22267 ";" 8 ";" 17062, 17503, 18024, 18025, 18701, 19911, 21820, 22435 "
" SEE-SOES-22249 ";" 8 ";" 12517, 13868, 17011, 18507, 19873, 20502, 21667, 22436 "
" SEE-CAGA-23371 ";" 13 ";" 14567, 15228, 15229, 15233, 16658, 17304, 18109, 18805, 19628, 19925, 21376, 22437, 22458 "
" SEE-SARO-22568 ";" 15 ";" 13074, 14227, 14348, 14579, 15682, 16151, 16351, 18228, 18863, 19670, 20248, 20417, 20732, 22439, 22788 "
" SEE-IBAI-22062 ";" 36 ";" 13539, 14651, 15510, 15513, 15515, 15521, 15556, 15570, 15571, 15579, 15591, 15605, 15606, 15607, 15608, 15609, 15610, 15611, 15612, 15613, 15614, 15615, 15616, 15617, 15618, 15620, 15621, 15622, 15985, 15986, 17752, 19547, 19902, 21302, 22440, 22738 "
" SEE-SERO-22052 ";" 12 ";" 13622, 13699, 15777, 17017, 18544, 19975, 20768, 21147, 21342, 22441, 22504, 22535 "
" SEE-GOIA-22031 ";" 35 ";" 12726, 12796, 12862, 13584, 13686, 13776, 13942, 14711, 14889, 14980, 15044, 15211, 15212, 15441, 15627, 15728, 15963, 16127, 16128, 16135, 17654, 17830, 18286, 20380, 20439, 20551, 20742, 21083, 21262, 22061, 22130, 22443, 22512, 22727, 22949 "
" SEE-BURO-22060 ";" 17 ";" 12513, 13273, 13287, 13301, 16874, 17305, 17355, 17498, 18361, 19068, 19435, 20255, 20843, 21260, 22444, 22584, 22866 "
" SEE-BRAS-23230 ";" 18 ";" 13064, 14061, 14963, 15895, 16353, 17722, 17736, 18125, 18268, 18275, 18874, 19583, 20065, 20935, 21231, 21436, 22072, 22446 "
" SEE-ITRA-23702 ";" 40 ";" 12708, 12710, 13276, 13497, 13513, 13523, 13547, 14347, 14576, 14767, 14902, 14969, 15092, 15497, 15498, 15506, 15512, 15520, 15527, 15716, 15726, 15757, 15761, 15764, 15766, 15768, 15787, 16169, 16225, 16571, 17164, 17320, 17758, 18773, 19045, 19656, 20292, 20363, 21307, 22447 "
" SEE-CULO-22079 ";" 30 ";" 12564, 12760, 12919, 13311, 13320, 13362, 13441, 13602, 13742, 14311, 14839, 15040, 15202, 15439, 15577, 15720, 15780, 15961, 16129, 17114, 17405, 17481, 17492, 17493, 17494, 19486, 20344, 21460, 22449, 22819 "
" SEE-CHTE-22769 ";" 14 ";" 14388, 17002, 17417, 18033, 18923, 19757, 19974, 21297, 22451, 22828, 22842, 22887, 22902, 22968 "
" SEE-SATE-23358 ";" 20 ";" 13137, 14480, 14971, 14986, 14991, 15002, 15036, 15220, 15671, 15813, 16831, 18939, 19520, 19635, 19887, 20431, 20938, 21910, 22453, 22751 "
" SEE-BURE-23137 ";" 13 ";" 12833, 13313, 14247, 14276, 14981, 15819, 16083, 16784, 18829, 20269, 20808, 21926, 22454 "
" SEE-JAIA-22147 ";" 9 ";" 15399, 16329, 18165, 18645, 19838, 20686, 21430, 22456, 22800 "
" SEE-BEIS-22919 ";" 17 ";" 12704, 13333, 13344, 14072, 15271, 16017, 16887, 17377, 18418, 19771, 19960, 21408, 21972, 21992, 22021, 22457, 22955 "
" SEE-MUUM-23395 ";" 57 ";" 12743, 12861, 13356, 13520, 13521, 13582, 13627, 13661, 13666, 13672, 13674, 13680, 13683, 13687, 13694, 13697, 13701, 13717, 13724, 13872, 13907, 13936, 14835, 14903, 14904, 15059, 15060, 15066, 15085, 15122, 15132, 15200, 15297, 15365, 15437, 15739, 15843, 17096, 17156, 17300, 17454, 18061, 18295, 20374, 20672, 21033, 21102, 21151, 21164, 21246, 21503, 22459, 22781, 22848, 22880, 22911, 22942 "
" SEE-MIAS-21929 ";" 20 ";" 13243, 13719, 13918, 14535, 14726, 15678, 15772, 16194, 16853, 18277, 18836, 19295, 20490, 21096, 21256, 21326, 21362, 21717, 21945, 22468 "
" SEE-ATIA-22815 ";" 14 ";" 12969, 15252, 17123, 17418, 17712, 18351, 19219, 20806, 21335, 22470, 22508, 22840, 22869, 22915 "
" SEE-VAIA-22294 ";" 19 ";" 12600, 14183, 15030, 15426, 15866, 16123, 17012, 17359, 17483, 18747, 19357, 20620, 21126, 21289, 21966, 22006, 22069, 22474, 22518 "
" SEE-BOHO-23364 ";" 13 ";" 13056, 13394, 13491, 14289, 15897, 16109, 17033, 18250, 21352, 21609, 21779, 22475, 22545 "
" SEE-ITBA-22032 ";" 41 ";" 12569, 12570, 12571, 12759, 12860, 12920, 13282, 13619, 14673, 14687, 14825, 14893, 15016, 15174, 15287, 15419, 15564, 15703, 15870, 16078, 16113, 16972, 17239, 17383, 17625, 17810, 17864, 18227, 18333, 19069, 20406, 20496, 20619, 20637, 21118, 21288, 21893, 22476, 22874, 22897, 22967 "
" SEE-BOIM-23818 ";" 12 ";" 12817, 13496, 14900, 14906, 15242, 15756, 15796, 16762, 18729, 20014, 20568, 22477 "
" SEE-BELO-22764 ";" 20 ";" 14122, 15860, 16101, 16893, 17202, 17248, 17340, 17628, 17787, 18236, 18705, 19634, 20195, 20501, 20755, 21132, 21571, 22479, 22521, 22899 "
" SEE-SAUI-22388 ";" 10 ";" 13255, 14583, 16388, 17076, 17271, 17968, 21904, 22131, 22480, 22520 "
" SEE-ICAS-22128 ";" 6 ";" 16344, 18554, 19163, 20512, 21819, 22482 "
" SEE-INIM-23145 ";" 17 ";" 12593, 13229, 13920, 13922, 13970, 14668, 15339, 15548, 16606, 16844, 19471, 20247, 20336, 20733, 21466, 22483, 22752 "
" SEE-GROL-23698 ";" 11 ";" 12962, 13862, 14087, 15004, 16347, 17725, 19195, 19432, 22073, 22485, 22597 "
" SEE-SACO-22214 ";" 44 ";" 12999, 13253, 13339, 13817, 13828, 14045, 14212, 14262, 14508, 14520, 14623, 14790, 14942, 14953, 15021, 15117, 15136, 15265, 15267, 15376, 15502, 15534, 15547, 15563, 15835, 15844, 15910, 15935, 16015, 17198, 17885, 18234, 19087, 19627, 20427, 20626, 20658, 20665, 21141, 21150, 21160, 21301, 22486, 22934 "
" SEE-JAIA-22146 ";" 8 ";" 13840, 15409, 16465, 18889, 19390, 20228, 21450, 22489 "
" SEE-RIOS-22550 ";" 14 ";" 12666, 12682, 12690, 13838, 13950, 15187, 15367, 17159, 18039, 20631, 20655, 20660, 21327, 22492 "
" SEE-LAOS-22065 ";" 14 ";" 13145, 13325, 13633, 14301, 14689, 16363, 17967, 18519, 19978, 20339, 20467, 21616, 22493, 22807 "
" SEE-DUDE-23656 ";" 14 ";" 14936, 15027, 15501, 15656, 16746, 18226, 18934, 19292, 19606, 21275, 21506, 21950, 22494, 22813 "
" SEE-SEHA-22970 ";" 15 ";" 12520, 13706, 14031, 14772, 15519, 16190, 16711, 18631, 19436, 20013, 20528, 21366, 21651, 22495, 22595 "
" SEE-DUDE-23657 ";" 9 ";" 16453, 18245, 18725, 19372, 19737, 21277, 22042, 22496, 22809 "
" SEE-LAHA-23658 ";" 9 ";" 13081, 16279, 16749, 18825, 19303, 19604, 20957, 21808, 22497 "
" SEE-SATO-23208 ";" 10 ";" 13204, 13913, 16629, 17953, 19050, 19825, 20075, 21559, 22498, 22815 "
" SEE-LAHA-23661 ";" 8 ";" 13018, 16631, 18865, 19465, 20096, 20782, 22499, 22814 "
" SEE-JABA-22529 ";" 27 ";" 12578, 13212, 13427, 13473, 14171, 14330, 14375, 14643, 14766, 14967, 14983, 15012, 15026, 15028, 15881, 16996, 17462, 17971, 18260, 19056, 19355, 21226, 22501, 22652, 22877, 22888, 22889 "
" SEE-RIHO-22047 ";" 10 ";" 12896, 13177, 16317, 17768, 17903, 17964, 20994, 21546, 22503, 22633 "
" SEE-RIHO-22049 ";" 15 ";" 13019, 15388, 15634, 15754, 15834, 16232, 16865, 17117, 17307, 17446, 17680, 17808, 21805, 22505, 22585 "
" SEE-MACU-23664 ";" 7 ";" 12968, 16377, 17136, 18872, 19881, 22507, 22806 "
" SEE-BOAS-21951 ";" 28 ";" 12561, 12777, 13371, 13599, 13754, 13999, 14331, 14459, 14573, 14837, 15035, 15251, 15436, 15500, 15736, 15901, 15954, 16131, 17265, 17414, 17643, 17824, 18309, 20603, 22019, 22509, 22670, 22891 "
" SEE-BOAS-22107 ";" 27 ";" 12562, 12776, 13369, 13597, 13755, 13996, 14333, 14458, 14574, 14838, 15033, 15238, 15434, 15471, 15734, 15900, 15955, 16132, 17144, 17145, 17415, 17641, 17823, 18304, 20602, 21680, 22510 "
" SEE-MACU-23668 ";" 9 ";" 17135, 17798, 18064, 18693, 19381, 19394, 20776, 22513, 22763 "
" SEE-SAAO-21985 ";" 29 ";" 12524, 13149, 13669, 13737, 14678, 14715, 14716, 14717, 14718, 14719, 14828, 14917, 15185, 15509, 16165, 16218, 16226, 16243, 17104, 17336, 19754, 20981, 21047, 21065, 21314, 21784, 22070, 22515, 22779 "
" SEE-DINA-22027 ";" 11 ";" 13157, 15069, 15070, 16420, 18016, 18355, 19454, 19864, 20797, 21475, 22519 "
" SEE-MUUM-23394 ";" 13 ";" 14928, 15249, 15254, 15328, 16412, 16916, 17747, 17919, 18212, 21523, 21902, 22522, 22945 "
" SEE-GOES-22806 ";" 13 ";" 13115, 13662, 14196, 14269, 14379, 14548, 16974, 18219, 19552, 20657, 21258, 21295, 22523 "
" SEE-SAES-22259 ";" 16 ";" 12556, 13536, 14430, 17772, 17777, 17790, 17795, 17879, 17906, 17972, 18332, 18343, 18624, 19271, 20774, 22524 "
" SEE-PIIS-22202 ";" 9 ";" 14129, 14241, 16445, 18041, 18392, 19119, 20746, 21471, 22526 "
" SEE-JAIA-22149 ";" 14 ";" 12908, 13183, 14078, 14878, 14958, 15373, 16805, 18375, 19836, 20454, 20961, 21128, 22076, 22527 "
" SEE-JAIA-22148 ";" 12 ";" 13202, 14876, 14956, 15096, 15372, 16789, 18715, 19536, 19991, 21554, 22129, 22528 "
" SEE-DIIS-23120 ";" 16 ";" 13326, 13327, 13328, 13338, 13477, 13485, 13499, 13501, 14631, 16359, 18196, 19013, 20078, 21897, 22093, 22531 "
" SEE-ICAS-22127 ";" 10 ";" 13474, 14092, 16354, 18718, 18995, 20169, 20356, 20838, 21405, 22532 "
" SEE-CAEU-22897 ";" 9 ";" 15648, 16769, 18158, 18698, 19349, 19481, 21493, 22533, 22864 "
" SEE-VIPA-22796 ";" 9 ";" 12741, 15662, 16236, 16346, 18956, 19570, 19983, 21473, 22534 "
" SEE-POTE-22892 ";" 4 ";" 12525, 21233, 21519, 22536 "
" SEE-UBAI-22285 ";" 11 ";" 13193, 14089, 15459, 16588, 17739, 19229, 19453, 20724, 21870, 22116, 22537 "
" SEE-BRAS-23228 ";" 10 ";" 13217, 14424, 14617, 16757, 16800, 17258, 19488, 20179, 21633, 22538 "
" SEE-POUE-22066 ";" 13 ";" 12654, 12754, 12845, 14731, 16717, 18137, 18885, 20086, 20612, 21029, 21406, 22004, 22539 "
" SEE-COUS-22999 ";" 20 ";" 15144, 16815, 17508, 17525, 17529, 17534, 17594, 17602, 17606, 17616, 17742, 18079, 18258, 18470, 19591, 20070, 20866, 21451, 22037, 22540 "
" SEE-SAAS-22958 ";" 8 ";" 15771, 17270, 18112, 18867, 19094, 20636, 21909, 22541 "
" SEE-MOOS-22728 ";" 17 ";" 12852, 13167, 13617, 13807, 14099, 14143, 15825, 16937, 17318, 17627, 17723, 18240, 20401, 21105, 21121, 21913, 22542 "
" SEE-REOR-23204 ";" 17 ";" 12980, 13469, 14880, 14997, 15142, 15496, 17001, 17512, 17613, 17794, 18204, 18577, 19437, 20109, 20436, 21812, 22543 "
" SEE-UBAI-22283 ";" 8 ";" 12829, 16965, 18152, 18575, 20165, 20869, 21757, 22544 "
" SEE-NOHA-21948 ";" 9 ";" 13927, 16735, 18640, 19923, 20400, 21010, 21535, 21959, 22549 "
