Nome;"Latitude Graus";"Latitude Minutos";"Latitude Segundos";"Longitude Graus";"Longitude Minutos";"Longitude Segundos";"Marca Antena";CEP;Endereco;Numero;Bairro;Cidade;ODU;BUC;"Marca Antena";Empresa
SES-ENAS-4089;19;06;20;41;59;48;skyware;35130-000;"Rua Adeodato Tiburcio Jonas";" 595 ";" Divino do Traíra";"ENGENHEIRO CALDAS";;;;Lider
SES-ESAS-5545;19;42;24;44;11;57;skyware;35740-000;"RUA ELIAS RODRIGUES COSTA";" SN";;ESMERALDAS;"SL 2000";;;Vodanet
SES-ESDO-4526;22;02;58;45;57;03;patriot;37566-000;"RUA ANTÔNIO BELIZÁRIO BORGES";;;"ESPÍRITO SANTO DO DOURADO";"SL 2000";;;Lider
SES-ESVA-3269;22;27;54;45;01;06;skyware;37542-000;"Jose Pedro Simão Filho nº 50";" centro";;ESTIVA;"SL 4033";;;Lider
SES-FRSA-4529;16;28;23;43;29;12;skyware;39580-000;"AVENIDA JK nº 360 - JOÃO GONÇALVES";;;"FRANCISCO SÁ";"SL 2000";;;Lider
SES-FRIS-3671;17;53;35;42;00;31;skyware;39695-000;"AV PRESIDENTE KENEDY ";" n156 ";Centro;FRANCISCÓPOLIS;"SL 4033";;;Vodanet
SES-FRIO-3321;18;33;48;41;54;27;skyware;35112-000;"Rua sebastiana Alves de Souza";" s/n";;"FREI INOCÊNCIO";"SL 2000";;;Lider
SES-GAIA-4582;19;00;00;41;32;19;skyware;35250-000;"AVENIDA OITO DE DEZEMBRO";" 863 ";" CENTRO";GALILÉIA;"SL 2000";;;Lider
SES-GORA-4095;18;58;49;41;13;32;skyware;35248-000;"Rua Rosa Luiza Ferreira";" 50";;GOIABEIRA;"SL 4033";;;Lider
SES-GOEA-4379;18;38;36;43;44;56;patriot;39120-000;"Pedro Pereira ";;;GOUVÊA;"SL 4033";;;Lider
SES-GOES-0812;18;51;15;41;56;25;skyware;35020-550;"Rua São João";" 344 ";" Centro";"GOVERNADOR VALADARES";"SL 4033";;;Lider
SES-GUES-3753;18;46;20;42;55;47;skyware;39740-000;"Praça Isautina";" 101 ";" Bairro ALVORADA";GUANHÃES;"SL 2000";;;Lider
